annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2000;1;2000-01-31;Contrat de plus d'un mois;CDI;279459;226977
2000;2;2000-05-31;Contrat de plus d'un mois;CDI;256551;283547
2000;3;2000-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;627901;318940
2000;3;2000-09-30;Contrat de plus d'un mois;CDI;362055;266086
2000;4;2000-11-30;Contrat de plus d'un mois;CDI;297896;297179
2000;4;2000-12-31;Contrat de plus d'un mois;CDI;236365;306475
2001;1;2001-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;267763;310657
2001;1;2001-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;205832;317166
2001;2;2001-04-30;Contrat de plus d'un mois;CDI;290391;290382
2001;2;2001-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400432;310910
2001;3;2001-07-31;Contrat de plus d'un mois;CDI;256721;287947
2001;3;2001-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;189209;304533
2001;4;2001-10-31;Contrat de plus d'un mois;CDI;359590;275063
2001;4;2001-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;251789;300301
2001;4;2001-11-30;Contrat de plus d'un mois;CDI;268592;268473
2002;1;2002-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;250647;295512
2002;1;2002-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;242190;301774
2002;3;2002-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;634517;309950
2002;3;2002-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;179773;289403
2003;1;2003-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;184934;290032
2003;1;2003-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;232099;283610
2003;2;2003-04-30;Contrat de plus d'un mois;CDI;247846;245397
2003;2;2003-05-31;Contrat de plus d'un mois;CDI;209675;237683
2003;2;2003-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;452596;340871
2003;3;2003-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;171490;273435
2003;4;2003-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;302448;293968
2003;4;2003-11-30;Contrat de plus d'un mois;CDI;238520;244100
2003;4;2003-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;207874;287613
2004;1;2004-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;259294;305129
2004;1;2004-01-31;Contrat de plus d'un mois;CDI;302613;247669
2004;1;2004-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;191677;293313
2004;3;2004-07-31;Contrat de plus d'un mois;CDI;202095;237909
2004;3;2004-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;210407;310435
2004;4;2004-10-31;Contrat de plus d'un mois;CDI;298466;243844
